No.,Observed Passband,Photometry Measurement,Uncertainty,Units,Frequency,Flux Density,Upper limit of uncertainty,Lower limit of uncertainty,Upper limit of Flux Density,Lower limit of Flux Density,NED Uncertainty,NED Units,Refcode,Significance,Published frequency,Frequency Mode,Coordinates Targeted,Spatial Mode,Qualifiers,Comments
48,4.5 microns (IRAC),2013.1,+/-6.4030E-01,uJy,6.67E13,0.00201,6.4E-7,6.4E-7,,,+/-6.40E-07,Jy,2013SSTSLC4.2....0C,uncertainty,4.493      microns,Broad-band measurement,,Flux in fixed aperture,"5.8"" aperture",From new raw data
49,W2 (WISE),11.289,+/-0.022,mag,6.51E13,0.00524,1.06E-4,1.06E-4,,,+/-1.06E-04,Jy,2013wise.rept....1C,uncertainty,4.6028     microns,Broad-band measurement,,From fitting to map,Profile-fit;extended,From new raw data
50,W2 (WISE),10.966,+/-0.008,mag,6.51E13,0.00706,5.2E-5,5.2E-5,,,+/-5.20E-05,Jy,2013wise.rept....1C,uncertainty,4.6028     microns,Broad-band measurement,,Flux in fixed aperture,"r=8.25"" COG-corrected;extended",From new raw data; Uncorrected for known sources in beam
51,W2 (WISE),9.696,+/-0.006,mag,6.51E13,0.0227,1.26E-4,1.26E-4,,,+/-1.26E-04,Jy,2013wise.rept....1C,uncertainty,4.6028     microns,Broad-band measurement,,Flux in fixed aperture,"r=22.0"" aperture;extended",From new raw data; Uncorrected for known sources in beam
52,5.8 microns (IRAC),1576.2,+/-3.2665E+00,uJy,5.23E13,0.00158,3.27E-6,3.27E-6,,,+/-3.27E-06,Jy,2013SSTSLC4.2....0C,uncertainty,5.731      microns,Broad-band measurement,,Flux in fixed aperture,"3.8"" aperture",From new raw data
53,5.8 microns (IRAC),3063.3,+/-4.3310E+00,uJy,5.23E13,0.00306,4.33E-6,4.33E-6,,,+/-4.33E-06,Jy,2013SSTSLC4.2....0C,uncertainty,5.731      microns,Broad-band measurement,,Flux in fixed aperture,"5.8"" aperture",From new raw data
54,8.0 microns (IRAC),3914.9,+/-2.6874E+00,uJy,3.81E13,0.00391,2.69E-6,2.69E-6,,,+/-2.69E-06,Jy,2013SSTSLC4.2....0C,uncertainty,7.872      microns,Broad-band measurement,,Flux in fixed aperture,"3.8"" aperture",From new raw data
55,8.0 microns (IRAC),7208.7,+/-3.6795E+00,uJy,3.81E13,0.00721,3.68E-6,3.68E-6,,,+/-3.68E-06,Jy,2013SSTSLC4.2....0C,uncertainty,7.872      microns,Broad-band measurement,,Flux in fixed aperture,"5.8"" aperture",From new raw data
56,W3 (WISE),7.944,+/-0.019,mag,2.59E13,0.021,3.68E-4,3.68E-4,,,+/-3.68E-04,Jy,2013wise.rept....1C,uncertainty,11.5608    microns,Broad-band measurement,,From fitting to map,Profile-fit;extended,From new raw data
57,W3 (WISE),7.455,+/-0.008,mag,2.59E13,0.033,2.43E-4,2.43E-4,,,+/-2.43E-04,Jy,2013wise.rept....1C,uncertainty,11.5608    microns,Broad-band measurement,,Flux in fixed aperture,"r=8.25"" COG-corrected;extended",From new raw data
58,W3 (WISE),6.413,+/-0.006,mag,2.59E13,0.0862,4.76E-4,4.76E-4,,,+/-4.76E-04,Jy,2013wise.rept....1C,uncertainty,11.5608    microns,Broad-band measurement,,Flux in fixed aperture,"r=22.0"" aperture;extended",From new raw data; Uncorrected for known sources in beam
59,12 microns (IRAS),0.2859,+/-8   %,Jy,2.5E13,0.286,0.0229,0.0229,,,+/-2.29E-02,Jy,1990IRASF.C...0000M,uncertainty,12        microns,Broad-band measurement,090337.7 +604050 (B1950),Flux in fixed aperture,IRAS quality flag = 3,From new raw data
60,W4 (WISE),5.673,+/-0.042,mag,1.36E13,0.045,0.00174,0.00174,,,+/-1.74E-03,Jy,2013wise.rept....1C,uncertainty,22.0883    microns,Broad-band measurement,,From fitting to map,Profile-fit;extended,From new raw data
61,W4 (WISE),4.768,+/-0.019,mag,1.36E13,0.104,0.00181,0.00181,,,+/-1.81E-03,Jy,2013wise.rept....1C,uncertainty,22.0883    microns,Broad-band measurement,,Flux in fixed aperture,"r=16.5"" COG-corrected;extended",From new raw data; Uncorrected for known sources in beam
62,W4 (WISE),4.786,+/-0.016,mag,1.36E13,0.102,0.0015,0.0015,,,+/-1.50E-03,Jy,2013wise.rept....1C,uncertainty,22.0883    microns,Broad-band measurement,,Flux in fixed aperture,"r=22.0"" aperture;extended",From new raw data; Uncorrected for known sources in beam
63,24 microns (MIPS),15971.0,+/-1.7747E+01,uJy,1.27E13,0.016,1.77E-5,1.77E-5,,,+/-1.77E-05,Jy,2013SSTSLC4.2....0C,uncertainty,23.68      microns,Broad-band measurement,,Modelled datum,PSF fit,From new raw data
64,24 microns (MIPS),12400.0,+/-1.3820E+01,uJy,1.27E13,0.0124,1.38E-5,1.38E-5,,,+/-1.38E-05,Jy,2013SSTSLC4.2....0C,uncertainty,23.68      microns,Broad-band measurement,,Flux in fixed aperture,"14.7"" aperture",From new raw data
65,25 microns (IRAS),0.3468,+/-7   %,Jy,1.2E13,0.347,0.02,0.02,,,+/-2.00E-02,Jy,1990IRASF.C...0000M,uncertainty,25        microns,Broad-band measurement,090337.7 +604050 (B1950),Flux in fixed aperture,IRAS quality flag = 3,From new raw data
66,60 microns (IRAS),3.075,+/-5   %,Jy,5.0E12,3.08,0.154,0.154,,,+/-1.54E-01,Jy,1990IRASF.C...0000M,uncertainty,60        microns,Broad-band measurement,090337.7 +604050 (B1950),Flux in fixed aperture,IRAS quality flag = 3,From new raw data
67,100 microns (IRAS),10.49,+/-5   %,Jy,3.0E12,10.5,0.525,0.525,,,+/-5.25E-01,Jy,1990IRASF.C...0000M,uncertainty,100       microns,Broad-band measurement,090337.7 +604050 (B1950),Flux in fixed aperture,IRAS quality flag = 2,From new raw data
68,5 GHz (NRAO),34.0,+/-11,mJy,5.0E9,0.034,0.011,0.011,,,+/-1.10E-02,Jy,1975AJ.....80..771S,rms uncertainty,5   GHz,Broad-band measurement,,Flux integrated from map,,From new raw data
69,850 MHz (GB6),,<18,mJy,4.85E9,,,,0.018,,<1.80E-02,Jy,2015AJ....149...32M,no uncertainty reported,4850 MHz,Broad-band measurement,09 07 34.1 +60 28 46 (J2000),From fitting to map,,From reprocessed raw data
77,1400 MHz (NVSS),38.1,+/-2.1,mJy,1.4E9,0.0381,0.0021,0.0021,,,+/-2.10E-03,Jy,2015AJ....149...32M,1 sigma,1400 MHz,Broad-band measurement,09 07 34.1 +60 28 46 (J2000),From fitting to map,,From reprocessed raw data
78,1.4 GHz (VLA),41.2,,mJy,1.4E9,0.0412,,,,,,Jy,2002AJ....124..675C,no uncertainty reported,1.4   GHz,Broad-band measurement,,Flux integrated from map,,Averaged from previously published data
79,1.4GHz,36.7,+/-2.7,mJy,1.4E9,0.0367,0.0027,0.0027,,,+/-2.70E-03,Jy,1998AJ....115.1693C,uncertainty,1.40   GHz,Broad-band measurement,09 07 32.94 +60 28 50.6 (J2000),Flux integrated from map,,From new raw data
80,325 MHz (WENSS),81.0,+/-8,mJy,3.25E8,0.081,0.008,0.008,,,+/-8.00E-03,Jy,2015AJ....149...32M,1 sigma,325 MHz,Broad-band measurement,09 07 34.1 +60 28 46 (J2000),From fitting to map,,From reprocessed raw data
81,151 MHz (6C),0.17,+/-0.040,Jy,1.52E8,0.17,0.04,0.04,,,+/-4.00E-02,Jy,1990MNRAS.246..256H,typical accuracy,151.5      MHz,Broad-band measurement,090337.0 604054. (B1950),Peak flux,,From new raw data
82,74 MHz (VLSSr),355.0,+/-110,mJy,7.4E7,0.355,0.11,0.11,,,+/-1.10E-01,Jy,2015AJ....149...32M,1 sigma,74 MHz,Broad-band measurement,09 07 34.1 +60 28 46 (J2000),From fitting to map,,From reprocessed raw data
