No.,Observed Passband,Photometry Measurement,Uncertainty,Units,Frequency,Flux Density,Upper limit of uncertainty,Lower limit of uncertainty,Upper limit of Flux Density,Lower limit of Flux Density,NED Uncertainty,NED Units,Refcode,Significance,Published frequency,Frequency Mode,Coordinates Targeted,Spatial Mode,Qualifiers,Comments
1,FUV (GALEX),14.91,+/-0.69,mJy,1.96E15,0.0149,6.9E-4,6.9E-4,,,+/-6.90E-04,Jy,2011ApJ...741..124H,uncertainty,1528 A,Broad-band measurement,,Flux in fixed aperture,,From reprocessed raw data; Extinction-corrected for Milky Way
2,FUV (GALEX) AB,12.85,+/-0.01,mag,1.96E15,0.0263,2.42E-4,2.42E-4,,,+/-2.42E-04,Jy,2018ApJS..234...18B,1 sigma,1530 A,Broad-band measurement,156.275670 +17.161338 (J2000),Total flux,Asymptotic magnitude,From new raw data
3,FUV (GALEX) AB,12.81,+/-0.05,mag,1.95E15,0.0273,0.00126,0.00126,,,+/-1.26E-03,Jy,2011ApJS..192....6L,uncertainty,1539 A,Broad-band measurement,,Flux in fixed aperture,,From new raw data; Extinction-corrected for Milky Way
4,FUV (GALEX) AB,12.29,,mag,1.95E15,0.0441,,,,,,Jy,2018ApJS..237...36P,no uncertainty reported,1539 A,Broad-band measurement,156.26910 +17.14940 (J2000),Flux in fixed aperture,,From reprocessed raw data; Extinction-corrected for Milky Way
5,NUV (GALEX),26.41,+/-0.73,mJy,1.32E15,0.0264,7.3E-4,7.3E-4,,,+/-7.30E-04,Jy,2011ApJ...741..124H,uncertainty,2271 A,Broad-band measurement,,Flux in fixed aperture,,From reprocessed raw data; Extinction-corrected for Milky Way
6,NUV (GALEX) AB,12.59,+/-0.01,mag,1.3E15,0.0334,3.08E-4,3.08E-4,,,+/-3.08E-04,Jy,2018ApJS..234...18B,1 sigma,2310 A,Broad-band measurement,156.275670 +17.161338 (J2000),Total flux,Asymptotic magnitude,From new raw data
7,NUV (GALEX) AB,12.59,+/-0.03,mag,1.29E15,0.0334,9.24E-4,9.24E-4,,,+/-9.24E-04,Jy,2011ApJS..192....6L,uncertainty,2316 A,Broad-band measurement,,Flux in fixed aperture,,From new raw data; Extinction-corrected for Milky Way
8,NUV (GALEX) AB,12.87,,mag,1.29E15,0.0258,,,,,,Jy,2018ApJS..237...36P,no uncertainty reported,2316 A,Broad-band measurement,156.26910 +17.14940 (J2000),Flux in fixed aperture,,From reprocessed raw data; Extinction-corrected for Milky Way
9,U (U_T^0),11.17,,mag,8.19E14,0.0616,,,,,,Jy,1991RC3.9.C...0000d,no uncertainty reported,3660       A,Broad-band measurement,102223.3 +172450 (B1950),From multi-aperture data,,Homogenized from new and previously published data;Extinction-corrected for internal and Milky Way and K-correction applied; Standard Johnson UBVRI filters assumed
10,U_T (VATT),11.493,+/-0.017,mag,8.19E14,0.0458,7.25E-4,7.25E-4,,,+/-7.25E-04,Jy,2005ApJ...630..784T,uncertainty,3660   A,Broad-band measurement,10 25 04.76 +17 08 58.3 (J2000),Total flux,,From new raw data; derived from a flux in a different bandand a color; Standard Johnson UBVRI filters assumed
11,U (U_T),11.39,+/-0.13,mag,8.19E14,0.0503,0.00648,0.00648,,,+/-6.48E-03,Jy,1991RC3.9.C...0000d,rms uncertainty,3660       A,Broad-band measurement,102223.3 +172450 (B1950),From multi-aperture data,,Homogenized from new and previously published data; StandardJohnson UBVRI filters assumed
18,m_p,13.5,+/-0.4,mag,6.81E14,0.017,0.00755,0.00755,,,+/-7.55E-03,Jy,1963CGCG2.C...0000Z,rms noise,4400       A,Broad-band measurement,102224.0 +172500. (B1950),Estimated by eye,,From new raw data
19,B_T (VATT),11.795,+/-0.010,mag,6.81E14,0.0816,7.51E-4,7.51E-4,,,+/-7.51E-04,Jy,2005ApJ...630..784T,uncertainty,4400   A,Broad-band measurement,10 25 04.76 +17 08 58.3 (J2000),Total flux,,From new raw data; Standard Johnson UBVRI filters assumed
20,B (B_T^0),11.53,,mag,6.81E14,0.104,,,,,,Jy,1991RC3.9.C...0000d,no uncertainty reported,4400       A,Broad-band measurement,102223.3 +172450 (B1950),Multiple methods,,Homogenized from new and previously published data;Extinction-corrected for internal and Milky Way and K-correction applied; Standard Johnson UBVRI filters assumed
21,B (m_B),12.3,+/-0.40,mag,6.81E14,0.0512,0.0228,0.0228,,,+/-2.28E-02,Jy,1991RC3.9.C...0000d,rms uncertainty,4400       A,Broad-band measurement,102223.3 +172450 (B1950),Multiple methods,,Homogenized from new and previously published data; StandardJohnson UBVRI filters assumed
22,B (B_T),11.73,+/-0.13,mag,6.81E14,0.0866,0.011,0.011,,,+/-1.10E-02,Jy,1991RC3.9.C...0000d,rms uncertainty,4400       A,Broad-band measurement,102223.3 +172450 (B1950),From multi-aperture data,,Homogenized from new and previously published data; StandardJohnson UBVRI filters assumed
26,g (SDSS) AB,11.54,,mag,6.17E14,0.0879,,,,,,Jy,2018ApJS..237...36P,no uncertainty reported,4858 A,Broad-band measurement,156.26910 +17.14940 (J2000),Flux in fixed aperture,,From reprocessed raw data; Extinction-corrected for Milky Way
29,V (Johnson),11.34,,mag,5.42E14,0.106,,,,,,Jy,1988VIrPh.C...0000d,no uncertainty reported,5530   A,Broad-band measurement,,Flux in fixed aperture,"261.9"" aperture",From new raw data; Corrected for contaminating foregroundstars
30,V_T (VATT),11.402,+/-0.018,mag,5.42E14,0.1,0.00166,0.00166,,,+/-1.66E-03,Jy,2005ApJ...630..784T,uncertainty,5530   A,Broad-band measurement,10 25 04.76 +17 08 58.3 (J2000),Total flux,,From new raw data; derived from a flux in a different bandand a color; Standard Johnson UBVRI filters assumed
31,V (V_T^0),11.14,,mag,5.42E14,0.127,,,,,,Jy,1991RC3.9.C...0000d,no uncertainty reported,5530       A,Broad-band measurement,102223.3 +172450 (B1950),From multi-aperture data,,Homogenized from new and previously published data;Extinction-corrected for internal and Milky Way and K-correction applied; Standard Johnson UBVRI filters assumed
