No.,Observed Passband,Photometry Measurement,Uncertainty,Units,Frequency,Flux Density,Upper limit of uncertainty,Lower limit of uncertainty,Upper limit of Flux Density,Lower limit of Flux Density,NED Uncertainty,NED Units,Refcode,Significance,Published frequency,Frequency Mode,Coordinates Targeted,Spatial Mode,Qualifiers,Comments
32,V (V_T),11.31,+/-0.13,mag,5.42E14,0.109,0.0139,0.0139,,,+/-1.39E-02,Jy,1991RC3.9.C...0000d,rms uncertainty,5530       A,Broad-band measurement,102223.3 +172450 (B1950),From multi-aperture data,,Homogenized from new and previously published data; StandardJohnson UBVRI filters assumed
33,r (SDSS) AB,11.3,,mag,4.77E14,0.11,,,,,,Jy,2018ApJS..237...36P,no uncertainty reported,6290 A,Broad-band measurement,156.26910 +17.14940 (J2000),Flux in fixed aperture,,From reprocessed raw data; Extinction-corrected for Milky Way
36,R (Johnson) (JKT),11.07,+/-0.04,mag,4.7E14,0.108,0.00397,0.00397,,,+/-3.97E-03,Jy,2004A&A...414...23J,uncertainty,6373   A,Broad-band measurement,,Total flux,,From new raw data
44,R' (Johnson),10.93,,mag,4.48E14,0.118,,,,,,Jy,1988VIrPh.C...0000d,no uncertainty reported,6690   A,Broad-band measurement,,Flux in fixed aperture,"261.9"" aperture",From new raw data; Corrected for contaminating foregroundstars
49,R_T (VATT),11.035,+/-0.023,mag,4.33E14,0.111,0.00234,0.00234,,,+/-2.34E-03,Jy,2005ApJ...630..784T,uncertainty,6930   A,Broad-band measurement,10 25 04.76 +17 08 58.3 (J2000),Total flux,,From new raw data; derived from a flux in a different bandand a color; Standard Johnson UBVRI filters assumed
50,I' (Johnson),10.24,,mag,3.75E14,0.18,,,,,,Jy,1988VIrPh.C...0000d,no uncertainty reported,8000   A,Broad-band measurement,,Flux in fixed aperture,"261.9"" aperture",From new raw data; Corrected for contaminating foregroundstars
51,J (2MASS/FLWO),15.91,+/-0.099,mag,2.43E14,6.89E-4,6.29E-5,6.29E-5,,,+/-6.29E-05,Jy,2006AJ....131.1163S,uncertainty,1.235      microns,Broad-band measurement,,Flux in fixed aperture,Profile-fit,From new raw data
52,J (2MASS/FLWO),15.234,+/-0.061,mag,2.43E14,0.00128,7.22E-5,7.22E-5,,,+/-7.22E-05,Jy,2006AJ....131.1163S,uncertainty,1.235      microns,Broad-band measurement,,Flux in fixed aperture,"4"" aperture",From new raw data
53,J,11.329,+/-0.029,mag,2.4E14,0.0468,0.00127,0.00127,,,+/-1.27E-03,Jy,20032MASX.C.......:,1 sigma uncert.,1.25      microns,Broad-band measurement,102504.89 +170948.9 (J2000),Flux in fixed aperture,92.8 x   48.3 arcsec integration area.,From new raw data; Corrected for contaminating sources
54,J,11.329,+/-0.017,mag,2.4E14,0.0468,7.39E-4,7.39E-4,,,+/-7.39E-04,Jy,20032MASX.C.......:,1 sigma uncert.,1.25      microns,Broad-band measurement,102504.89 +170948.9 (J2000),Flux in fixed aperture,,From new raw data
55,J_14arcsec (2MASS),13.972,+/-0.035,mag,2.4E14,0.0041,1.34E-4,1.34E-4,,,+/-1.34E-04,Jy,20032MASX.C.......:,1 sigma uncert.,1.25      microns,Broad-band measurement,102504.89 +170948.9 (J2000),Flux in fixed aperture,14.0 x 14.0 arcsec aperture.,From new raw data
56,H,10.702,+/-0.051,mag,1.82E14,0.0536,0.00258,0.00258,,,+/-2.58E-03,Jy,20032MASX.C.......:,1 sigma uncert.,1.65      microns,Broad-band measurement,102504.89 +170948.9 (J2000),Flux in fixed aperture,92.8 x   48.3 arcsec integration area.,From new raw data; Corrected for contaminating sources
57,H,10.702,+/-0.026,mag,1.82E14,0.0536,0.0013,0.0013,,,+/-1.30E-03,Jy,20032MASX.C.......:,1 sigma uncert.,1.65      microns,Broad-band measurement,102504.89 +170948.9 (J2000),Flux in fixed aperture,,From new raw data
58,H_14arcsec (2MASS),13.265,+/-0.050,mag,1.82E14,0.00506,2.39E-4,2.39E-4,,,+/-2.39E-04,Jy,20032MASX.C.......:,1 sigma uncert.,1.65      microns,Broad-band measurement,102504.89 +170948.9 (J2000),Flux in fixed aperture,14.0 x 14.0 arcsec aperture.,From new raw data
59,H (2MASS/FLWO),15.535,+/-0.156,mag,1.8E14,6.26E-4,8.99E-5,8.99E-5,,,+/-8.99E-05,Jy,2006AJ....131.1163S,uncertainty,1.662      microns,Broad-band measurement,,Flux in fixed aperture,Profile-fit,From new raw data
60,H (2MASS/FLWO),14.772,+/-0.146,mag,1.8E14,0.00126,1.7E-4,1.7E-4,,,+/-1.70E-04,Jy,2006AJ....131.1163S,uncertainty,1.662      microns,Broad-band measurement,,Flux in fixed aperture,"4"" aperture",From new raw data
61,K_s (2MASS/FLWO),,>14.195,mag,1.39E14,,,,0.0014,,<1.40E-03,Jy,2006AJ....131.1163S,95% confidence,2.159      microns,Broad-band measurement,,Flux in fixed aperture,,From new raw data
62,K_s,10.715,+/-0.080,mag,1.38E14,0.0345,0.00264,0.00264,,,+/-2.64E-03,Jy,20032MASX.C.......:,1 sigma uncert.,2.17      microns,Broad-band measurement,102504.89 +170948.9 (J2000),Flux in fixed aperture,92.8 x   48.3 arcsec integration area.,From new raw data; Corrected for contaminating sources
63,K_s,10.715,+/-0.040,mag,1.38E14,0.0345,0.0013,0.0013,,,+/-1.30E-03,Jy,20032MASX.C.......:,1 sigma uncert.,2.17      microns,Broad-band measurement,102504.89 +170948.9 (J2000),Flux in fixed aperture,,From new raw data
64,K_s_14arcsec (2MASS),13.025,+/-0.061,mag,1.38E14,0.00411,2.38E-4,2.38E-4,,,+/-2.38E-04,Jy,20032MASX.C.......:,1 sigma uncert.,2.17      microns,Broad-band measurement,102504.89 +170948.9 (J2000),Flux in fixed aperture,14.0 x 14.0 arcsec aperture.,From new raw data
65,3.6 microns (IRAC),0.0742,+/-1.00E-2,Jy,8.44E13,0.0742,0.01,0.01,,,+/-1.00E-02,Jy,2009ApJ...703..517D,uncertainty,3.550 microns,Broad-band measurement,,Flux in fixed aperture,,From new raw data; Extinction-corrected for Milky Way
66,3.6 microns IRAC AB,12.178,+/-0.001,mag,8.44E13,0.0489,4.5E-5,4.5E-5,,,+/-4.50E-05,Jy,2018ApJS..234...18B,1 sigma,3.550 microns,Broad-band measurement,156.275670 +17.161338 (J2000),Total flux,Asymptotic magnitude,Averaged from previously published data
67,4.5 microns (IRAC),0.0497,+/-0.68E-2,Jy,6.67E13,0.0497,0.0068,0.0068,,,+/-6.80E-03,Jy,2009ApJ...703..517D,uncertainty,4.493 microns,Broad-band measurement,,Flux in fixed aperture,,From new raw data; Extinction-corrected for Milky Way
68,5.8 microns (IRAC),0.0747,+/-0.96E-2,Jy,5.23E13,0.0747,0.0096,0.0096,,,+/-9.60E-03,Jy,2009ApJ...703..517D,uncertainty,5.731 microns,Broad-band measurement,,Flux in fixed aperture,,From new raw data; Extinction-corrected for Milky Way
69,8.0 microns (IRAC),0.0872,+/-1.09E-2,Jy,3.81E13,0.0872,0.0109,0.0109,,,+/-1.09E-02,Jy,2009ApJ...703..517D,uncertainty,7.872 microns,Broad-band measurement,,Flux in fixed aperture,,From new raw data; Extinction-corrected for Milky Way
70,12 microns (IRAS),0.108,+/-22  %,Jy,2.5E13,0.108,0.0238,0.0238,,,+/-2.38E-02,Jy,1990IRASF.C...0000M,uncertainty,12        microns,Broad-band measurement,102224.4 +172437 (B1950),Flux in fixed aperture,IRAS quality flag = 2,From new raw data
71,24 microns (MIPS),0.358,+/-0.39E-1,Jy,1.27E13,0.358,0.039,0.039,,,+/-3.90E-02,Jy,2009ApJ...703..517D,uncertainty,23.68 microns,Broad-band measurement,,Flux in fixed aperture,,From new raw data; Extinction-corrected for Milky Way
72,25 microns (IRAS),0.2893,+/-20  %,Jy,1.2E13,0.289,0.0216,0.0216,,,+/-2.16E-02,Jy,1990IRASF.C...0000M,uncertainty,25        microns,Broad-band measurement,102224.4 +172437 (B1950),Flux in fixed aperture,IRAS quality flag = 2,From new raw data
73,60 microns (IRAS),3.421,+/-5   %,Jy,5.0E12,3.42,0.171,0.171,,,+/-1.71E-01,Jy,1990IRASF.C...0000M,uncertainty,60        microns,Broad-band measurement,102224.4 +172437 (B1950),Flux in fixed aperture,IRAS quality flag = 3,From new raw data
74,70 microns (MIPS),5.0,+/-0.61E+0,Jy,4.2E12,5.0,0.61,0.61,,,+/-6.10E-01,Jy,2009ApJ...703..517D,uncertainty,71.42 microns,Broad-band measurement,,Flux in fixed aperture,,From new raw data; Extinction-corrected for Milky Way
75,100 microns (IRAS),6.405,+/-7   %,Jy,3.0E12,6.41,0.448,0.448,,,+/-4.48E-01,Jy,1990IRASF.C...0000M,uncertainty,100       microns,Broad-band measurement,102224.4 +172437 (B1950),Flux in fixed aperture,IRAS quality flag = 2,From new raw data
76,160 microns (MIPS),7.4,+/-1.16E+0,Jy,1.92E12,7.4,1.16,1.16,,,+/-1.16E+00,Jy,2009ApJ...703..517D,uncertainty,155.9 microns,Broad-band measurement,,Flux in fixed aperture,,From new raw data; Extinction-corrected for Milky Way
77,2380 MHz,21.0,+/-3.,mJy,2.38E9,0.021,0.003,0.003,,,+/-3.00E-03,Jy,1978ApJS...36...53D,rms uncertainty,2380       MHz,Broad-band measurement; peak value reported,,Peak flux,,From new raw data
88,1.4 GHz (VLA),35.3,,mJy,1.4E9,0.0353,,,,,,Jy,2002AJ....124..675C,no uncertainty reported,1.4   GHz,Broad-band measurement,,Flux integrated from map,,Averaged from previously published data
89,1.4 GHz (ARO),8.6,,mJy,1.4E9,0.0086,,,,,,Jy,2005ApJ...625..763L,no uncertainty reported,1.4   GHz,Broad-band measurement,10 25 05.4 +17 09 43.9 (J2000),Flux integrated from map,,From new raw data
