#Table1
u,g,r,i,z,redshift
19.91726,18.35409,17.58621,17.13593,16.87883,0.08448764
20.25536,18.13932,17.23796,16.79024,16.4599,0.05707939
19.31342,17.34664,16.44426,16.01212,15.67931,0.05603799
19.21498,17.27006,16.37126,15.93107,15.58111,0.0564404
19.77161,18.3011,17.56067,17.16344,16.89884,0.0545981
19.24354,17.55958,16.70882,16.27199,15.96455,0.05644828
18.16017,16.86312,16.2489,15.89084,15.64687,0.05628066
18.46841,17.46578,16.99727,16.6327,16.4792,0.05746473
18.08883,16.13217,15.17689,14.73471,14.39303,0.04767711
19.88878,18.10267,17.20939,16.77248,16.44108,0.05747416
18.7438,17.51802,16.95585,16.61335,16.4623,0.0477161
18.23738,16.78965,16.04829,15.67454,15.39656,0.04829309
18.83355,17.66267,17.29149,17.05723,16.98752,0.03242692
19.07623,17.03644,16.10886,15.67891,15.34763,0.05856128
19.15034,17.32987,16.53035,16.11392,15.82345,0.05911322
18.71918,18.03876,17.46351,17.17879,17.06245,0.03578726
18.61133,16.90926,16.1292,15.72735,15.43811,0.05697612
19.98972,17.94874,17.00072,16.55212,16.21553,0.08028603
19.07316,17.33798,16.44005,15.89485,15.53507,0.056787
18.44993,17.34083,16.76965,16.46778,16.21179,0.03206984
19.31003,17.7519,16.91118,16.47969,16.12051,0.05703778
19.62644,17.88281,17.04647,16.62088,16.29815,0.05760876
20.54582,18.55428,17.56467,17.16102,16.79501,0.08984513
20.04061,18.16912,17.15438,16.67454,16.28648,0.04807595
19.63099,18.13664,17.75582,17.48149,17.33963,0.06264409
18.66115,17.78911,17.85096,17.75711,17.76518,0.03313043
19.06984,17.92881,17.42299,17.10858,16.93407,0.07353891
19.04757,18.01344,17.56024,17.33428,17.12852,0.03140147
19.64908,17.82985,16.87864,16.39382,16.03578,0.06676146
18.36679,16.67771,15.80625,15.34688,14.9629,0.03250279
23.02744,22.69483,21.23176,20.6326,20.59678,0.03240989
18.76592,17.68771,17.29992,17.02776,16.90097,0.0548378
20.2812,18.54646,17.71646,17.3396,17.09392,0.0541348
18.18797,16.34007,15.46602,15.06109,14.726,0.05499059
17.98317,16.04406,15.11983,14.69645,14.37436,0.06903487
18.18687,16.41089,15.50473,15.01241,14.65114,0.07189654
19.08615,18.11902,17.74387,17.44823,17.35661,0.07033781
18.7712,16.93626,16.04346,15.64876,15.32086,0.08318103
18.62893,17.45227,16.95206,16.60965,16.41897,0.08322018
18.68208,17.67402,17.13624,16.83064,16.63153,0.08303144
18.46381,16.96797,16.29387,15.91938,15.66288,0.08311663
19.13222,17.96128,17.43628,17.09624,16.92745,0.08324544
18.70333,16.72997,15.79149,15.37517,15.02602,0.06759457
20.05802,18.35321,17.54987,17.15258,16.86671,0.06770252
20.06977,18.32167,17.51046,17.12522,16.83066,0.06589106
17.37162,16.17903,15.5015,15.05806,14.78616,0.06490172
18.5427,17.0509,16.25521,15.79538,15.45037,0.06518305
19.48419,18.32629,17.84381,17.52679,17.42098,0.05265425
19.19269,17.52832,16.64588,16.14556,15.77973,0.06685378
20.24478,18.52651,17.67618,17.12465,16.81578,0.06720914
18.86605,17.72229,17.24177,16.94727,16.79901,0.08512671
20.57472,18.66595,17.7307,17.21704,16.85042,0.08000757
19.20433,17.33888,16.36254,15.90504,15.55624,0.08097252
19.51375,17.48923,16.47622,16.00013,15.62057,0.0824445
19.27377,17.41019,16.5093,16.07648,15.76148,0.06647208
19.8182,18.43271,17.83075,17.48223,17.24714,0.08117559
18.36115,17.10126,16.58227,16.24425,16.02739,0.03727411
18.06462,16.90013,16.40897,16.08534,15.8518,0.04863385
19.28344,18.13924,17.66454,17.36842,17.17779,0.04852381
19.76841,17.84013,16.91057,16.48621,16.16002,0.08325355
20.00377,18.17045,17.25731,16.75394,16.3976,0.08971721
20.44069,18.64716,17.72778,17.34446,17.03597,0.08904524
20.31309,18.37328,17.4641,17.03503,16.70817,0.08971591
19.2848,17.36638,16.44949,16.02587,15.664,0.08391871
19.60979,18.43007,17.93779,17.57864,17.41866,0.08443944
19.14232,17.98073,17.47673,17.14442,16.96485,0.08471707
19.86669,17.62287,16.62366,16.19393,15.84295,0.08473924
19.76176,18.35435,17.71034,17.30679,17.05675,0.08542071
17.67831,15.62343,14.68135,14.21932,13.86801,0.06139873
18.95653,17.51228,16.88305,16.51651,16.28623,0.06188377
18.63332,16.71089,15.70081,15.17513,14.81115,0.08596467
19.56628,17.77236,16.90207,16.52229,16.21778,0.06053571
18.16105,16.22465,15.32444,14.8955,14.57333,0.07604031
19.43219,18.59241,18.38963,18.06225,18.08699,0.06874236
19.45945,18.27847,17.71305,17.36153,17.13256,0.04623836
19.46432,17.38506,16.43697,16.00468,15.63739,0.06837906
18.55149,17.43453,17.0244,16.67865,16.55134,0.06834973
18.7589,17.2234,16.60966,16.21881,15.86789,0.04726475
18.32889,17.12496,16.6839,16.39323,16.16203,0.04718106
18.14166,17.36473,17.25447,17.09288,16.9602,0.04725183
19.60381,18.25592,17.82652,17.54264,17.60985,0.04144953
18.56832,16.58155,15.67286,15.23304,14.87336,0.04574715
20.45034,18.42192,17.40932,16.93813,16.55096,0.08390897
18.62167,16.64823,15.61071,15.10098,14.70314,0.05459604
19.61586,17.82232,16.97737,16.58277,16.23934,0.05439847
19.06049,17.15722,16.17834,15.67851,15.28477,0.05476647
18.44178,16.90574,16.14071,15.72687,15.4303,0.05477605
18.54098,17.44717,17.07023,16.85359,16.73716,0.05319332
17.20695,15.66462,14.96531,14.60201,14.35649,0.05245277
19.63085,17.71961,16.88926,16.45504,16.13981,0.05033805
18.66418,16.77362,15.87438,15.45335,15.12907,0.07733578
20.28194,18.37893,17.50128,17.05193,16.72834,0.0771817
17.03711,15.26592,14.43307,14.01931,13.70854,0.04997522
17.41887,15.51932,14.56519,14.14185,13.8231,0.05209216
19.61438,17.92348,16.88797,16.46831,16.1616,0.05330114
19.41222,17.62123,16.46192,15.9874,15.59551,0.05455462
20.41012,18.86312,17.74475,17.33492,16.99716,0.05348853
19.20536,17.57199,16.39611,15.97055,15.63163,0.05278205
19.97229,18.5913,17.45066,17.08355,16.77024,0.05272808
19.23876,17.94606,17.05773,16.65038,16.3473,0.0539526
19.92853,18.56002,17.85604,17.57474,17.44325,0.04975093
18.92915,17.94326,17.4894,17.189,17.15959,0.05299084
18.51891,17.25058,16.68086,16.34006,16.16329,0.05325393
18.8904,17.77925,17.19017,16.86358,16.72712,0.05265518
18.05187,17.08944,16.71369,16.44351,16.39968,0.05346759
19.03923,17.92844,17.40161,17.16085,17.00086,0.05325994
19.96513,18.27988,17.44608,16.99166,16.64544,0.06575461
19.80549,18.19102,17.41117,17.04544,16.70828,0.06544639
19.07974,18.11889,17.71273,17.48627,17.30425,0.03168992
19.03006,18.0001,17.72325,17.47507,17.40223,0.05201893
19.92809,18.04484,17.00202,16.51041,16.11597,0.08427076
19.28753,17.27005,16.31175,15.85112,15.5377,0.08448324
17.8263,15.94364,15.01791,14.55187,14.1946,0.05541833
18.79066,17.31443,16.69324,16.33189,16.10482,0.08430807
18.61331,16.67267,15.74967,15.34809,15.05085,0.08527369
18.59596,17.54691,17.12279,16.83825,16.64546,0.05125462
18.45909,17.51791,17.29324,17.04283,16.95855,0.05377915
20.38431,18.73335,17.8918,17.51428,17.21912,0.05450143
19.61352,18.23924,17.54865,17.18818,16.94508,0.05651241
19.60085,17.78945,16.80585,16.28979,15.8597,0.0555293
19.86221,17.96366,17.13169,16.73417,16.43651,0.08673545
20.4652,18.65397,17.8367,17.40699,17.08612,0.05469197
19.36992,17.53261,16.6476,16.24896,15.95826,0.08636595
18.33342,17.13314,16.53389,16.24415,15.98685,0.03105887
18.66003,17.66792,17.15151,16.6963,16.5257,0.07819632
19.58858,18.30346,17.63694,17.27189,17.09682,0.07858445
15.99632,14.14376,13.25364,12.85262,12.55824,0.03040131
19.76188,17.9466,17.11826,16.76886,16.46551,0.03160265
19.20287,16.59277,15.70658,15.25103,14.89744,0.07221484
19.07784,18.06951,17.70663,17.49811,17.31405,0.03472417
17.27438,16.14879,15.72019,15.48375,15.35073,0.03325611
19.87072,18.50639,17.75016,17.30381,17.06845,0.08232479
16.93221,15.56652,14.92086,14.58185,14.3252,0.03717615
18.61506,17.66902,17.3256,17.07911,16.96687,0.055526
17.68773,16.15192,15.37372,14.9532,14.64231,0.05581114
19.47946,18.03308,17.39289,17.06784,16.83607,0.07452711
17.94159,16.6496,16.00563,15.64483,15.36471,0.03443914
18.41705,17.3414,16.8993,16.6444,16.47451,0.03457854
16.9911,15.17415,14.37363,13.99589,13.71774,0.03983419
17.78947,15.91691,15.07053,14.67859,14.36553,0.04041696
18.9386,17.40152,16.62746,16.27216,15.9696,0.04044159
17.6157,16.21818,15.50727,15.09512,14.76708,0.03950118
18.98946,17.83726,17.34649,17.12594,16.98877,0.03979656
18.76092,17.06253,16.26154,15.85517,15.54927,0.0635696
18.75948,17.00923,16.23589,15.85673,15.56286,0.04475124
18.84181,17.4226,16.80486,16.47375,16.21138,0.04603937
17.95656,16.73918,16.16762,15.82151,15.5476,0.0436254
19.21048,18.42527,18.33849,17.97625,18.06766,0.07532337
18.42457,17.03285,16.43201,16.08331,15.84946,0.03498629
20.05793,18.07811,17.10731,16.64744,16.28493,0.0780212
18.55948,17.31544,16.71859,16.32946,16.09309,0.08371136
20.07895,17.97486,16.99332,16.56866,16.2151,0.08413497
18.51099,16.5434,15.63836,15.20576,14.85911,0.04208763
19.19569,17.3445,16.47097,16.06784,15.7399,0.04087759
19.15859,17.34954,16.4969,16.10579,15.79345,0.04256609
18.52141,17.56177,17.26736,17.10192,17.00217,0.03575706
19.33871,17.62348,16.86724,16.48278,16.18582,0.03600679
18.13967,16.27623,15.40219,14.96758,14.62897,0.03552287
20.75439,18.83536,17.81221,17.35935,16.946,0.08793741
18.43803,17.08073,16.50616,16.17469,15.96114,0.04064452
19.76353,18.16054,17.37046,16.97266,16.68583,0.05261302
17.60564,15.6884,14.79852,14.34542,14.01396,0.04017343
19.15754,17.41416,16.56482,16.18512,15.89214,0.04040727
17.70096,15.78726,14.89818,14.48576,14.14392,0.03511012
18.82345,17.2439,16.36413,15.88445,15.51134,0.07223801
19.26516,17.99321,17.47414,17.14265,16.93251,0.06389839
18.89091,17.70877,17.08739,16.63596,16.4144,0.078319
19.11118,17.97169,17.52744,17.27083,17.17729,0.0352582
20.28731,18.23518,17.26547,16.8328,16.4832,0.08937259
19.24236,18.18596,17.61742,17.20611,17.01726,0.05858022
20.34282,18.54066,17.66324,17.27906,16.95856,0.0873167
19.06376,17.60402,16.85892,16.4708,16.21223,0.0879248
19.79819,18.13791,17.32763,16.87978,16.58319,0.03933161
19.63104,17.79841,16.80899,16.32652,15.92582,0.07301264
18.17485,16.16745,15.19847,14.7566,14.40484,0.07252388
18.33101,16.86031,16.08617,15.68345,15.38158,0.07254209
19.44932,18.11353,17.47403,17.06372,16.78604,0.04933764
19.8213,18.53678,17.92305,17.52552,17.30756,0.07169949
19.83268,18.2952,17.52016,17.01587,16.7054,0.05218558
18.65735,17.32178,16.74006,16.43202,16.21406,0.05745656
18.71893,17.55303,16.98645,16.6849,16.47237,0.05280551
17.85654,15.90843,15.01138,14.57068,14.23089,0.05258041
19.81683,17.92566,17.01557,16.61369,16.28666,0.07637282
19.4395,18.34606,17.89598,17.57289,17.43036,0.07618898
19.67652,18.70407,18.34427,18.02978,17.9174,0.07631979
20.21701,18.03746,17.03577,16.54652,16.19558,0.08206443
20.13605,18.53351,17.67248,17.21563,16.87402,0.08159247
19.23488,17.33521,16.38146,15.89437,15.49413,0.07723882
17.96254,16.16429,15.39294,14.90381,14.54489,0.05069121
17.80566,16.59223,16.06062,15.75611,15.58005,0.05060415
19.45076,17.61312,16.61744,16.12243,15.73968,0.07581986
20.37709,18.72103,17.88305,17.35249,16.96173,0.07505435
19.84567,18.16356,17.38576,16.96339,16.61635,0.08413158
19.26014,18.27402,17.88486,17.56656,17.46192,0.0849696
19.85398,17.97983,17.09779,16.69863,16.35341,0.05145039
20.3772,18.66213,17.7134,17.23889,16.8621,0.08769701
18.8985,17.35386,16.59441,16.20499,15.91412,0.05948211
19.84079,18.48287,17.77114,17.34938,17.01793,0.07412795
19.96017,18.29428,17.42501,16.99878,16.70413,0.08147386
19.03673,17.40306,16.48184,16.06462,15.74351,0.08029238
18.9664,17.88164,17.28113,16.89205,16.66426,0.08800626
19.95752,18.01042,17.08339,16.64795,16.35335,0.08007087
18.60367,16.70164,15.76999,15.31554,14.95008,0.07216512
19.61529,18.09156,17.34966,16.99953,16.74233,0.07297713
18.71739,16.8447,15.91783,15.48379,15.14037,0.07226273
18.87132,17.0152,16.03411,15.60002,15.24057,0.08682497
19.40572,18.20468,17.57117,17.20986,17.01209,0.08063264
16.51096,14.53083,13.5704,13.11638,12.81764,0.03656447
18.12934,16.14146,15.23039,14.78253,14.43131,0.03696278
19.79445,18.13935,17.35294,16.96416,16.64149,0.03748205
20.07427,18.17028,17.43262,17.065,16.81598,0.03774762
18.86234,17.19269,16.34147,15.86481,15.4981,0.03913505
19.00815,17.93777,17.44642,17.11042,16.95849,0.08120342
19.75299,18.053,17.10675,16.62869,16.24496,0.08670919
19.14117,17.27155,16.31453,15.87336,15.5152,0.08650188
18.14572,16.89562,16.33768,16.01118,15.80122,0.04946987
20.23031,18.64321,17.73948,17.28989,16.94825,0.08626105
18.46074,16.76861,16.00134,15.59312,15.28116,0.05157417
19.24112,18.1712,17.7722,17.44882,17.33758,0.08584246
19.89711,18.1139,17.16786,16.72829,16.41232,0.07259052
20.31275,18.51889,17.56779,17.12412,16.86309,0.07300372
19.92548,18.19255,17.26985,16.79822,16.44847,0.08435758
22.76123,19.19112,21.40075,17.93866,17.57938,0.07947253
19.81522,18.02759,17.09016,16.62297,16.30189,0.07214969
19.08995,17.15163,16.16932,15.70767,15.34771,0.07300293
20.45499,18.49869,17.51975,17.09558,16.76951,0.07377017
19.43662,17.59132,16.57449,16.06407,15.6697,0.07204402
19.60085,17.89514,16.94801,16.45572,16.11223,0.07331128
19.01789,17.85998,17.34127,16.97491,16.80694,0.07159798
24.63497,22.16858,17.53497,16.94975,17.44576,0.03763003
18.17678,16.1857,15.24327,14.787,14.40182,0.03769142
19.2798,17.83059,17.13393,16.69926,16.43215,0.08366072
19.36977,17.32757,16.32889,15.82415,15.42158,0.08189596
19.36465,17.45507,16.48562,16.03985,15.6515,0.0543284
20.0593,19.02234,18.5685,18.21776,18.01342,0.07847924
18.66783,17.18596,16.60192,16.26444,16.12837,0.038931
19.54894,17.62465,16.6465,16.13294,15.73345,0.08156122
19.57001,17.69873,16.76399,16.30653,15.94461,0.05655788
19.67453,17.70972,16.70474,16.24121,15.86249,0.07958387
19.75661,18.29173,17.64697,17.30621,17.08921,0.07939668
19.00311,17.84478,17.3606,17.06992,16.89672,0.08168125
18.7697,17.44287,16.80943,16.43351,16.14337,0.0780502
19.18951,17.18931,16.19463,15.74153,15.35997,0.06170123
20.71131,18.92902,18.08395,17.61353,17.3288,0.07733326
18.70545,17.1393,16.2616,15.7908,15.47817,0.07733773
19.64874,17.81619,16.83916,16.38735,16.002,0.07817154
19.91633,18.27689,17.40175,16.94024,16.62079,0.08314706
20.1623,18.31942,17.39867,16.97221,16.61357,0.07866521
19.05092,17.71486,16.99573,16.56925,16.25315,0.07386148
20.26869,18.6351,17.79487,17.30429,16.92443,0.05668455
20.22353,17.96087,16.95781,16.41911,16.07038,0.08353413
19.70085,17.81646,16.8839,16.39947,16.00998,0.05611989
19.23226,17.74481,17.00006,16.56238,16.2852,0.05848505
18.61131,17.39661,16.82981,16.42213,16.18049,0.05573868
17.95032,16.55394,15.78342,15.33585,14.99424,0.05777124
19.19517,17.06991,15.99701,15.49089,15.07193,0.05834259
19.68592,18.22633,17.44923,17.05062,16.82444,0.08706421
19.78241,18.63589,18.08802,17.7946,17.64684,0.0561623
19.68307,18.26573,17.53905,17.0965,16.73698,0.05636747
19.5924,18.1522,17.38241,16.88036,16.52846,0.05862247
18.03215,16.9934,16.41687,16.01284,15.76241,0.05750092
18.70173,17.16827,16.36426,15.90729,15.5581,0.05868592
18.63516,16.7895,15.8911,15.37686,15.02526,0.08100747
17.4136,16.28186,16.0428,15.7877,15.05357,0.06101273
18.06942,16.6328,15.91424,15.47746,15.11731,0.05111897
20.59271,18.95981,17.98454,17.53601,17.15159,0.08062129
19.92805,18.63577,17.9227,17.50803,17.18401,0.0802547
20.2155,18.69033,17.90836,17.4055,17.10285,0.07478023
20.83021,18.70299,17.64674,17.13443,16.71652,0.0625722
20.58011,18.29339,17.17505,16.63502,16.1942,0.07249545
21.25306,18.74136,17.71827,17.20477,16.78665,0.07215931
20.66829,18.65735,17.71021,17.26222,16.87884,0.07245092
19.39115,17.38546,16.62838,16.17506,15.90679,0.07212562
19.57363,17.78085,16.77598,16.23286,15.82353,0.08779865
19.99165,18.20119,17.39404,16.98801,16.67336,0.070324
17.75035,16.0261,15.1387,14.68069,14.32342,0.0593444
20.26241,18.23997,17.29328,16.86309,16.48965,0.06328852
18.22282,15.9311,14.74303,14.15989,13.69214,0.05972825
19.48372,17.9773,17.27134,16.87289,16.60576,0.05949812
19.70192,18.23401,17.50678,17.13414,16.90355,0.05971881
19.59524,17.67892,16.73691,16.30513,15.92995,0.06071372
20.12992,18.51233,17.86205,17.63411,17.404,0.04922799
17.93534,16.66192,16.03994,15.65545,15.39904,0.05677012
18.72752,17.0404,16.05794,15.58988,15.20252,0.07811995
19.60284,17.61178,16.63377,16.16376,15.81391,0.07812221
19.91224,17.71497,16.76494,16.20892,15.7382,0.04943546
19.41949,18.10726,17.47618,17.13251,16.95683,0.06014679
17.90361,16.86369,16.03783,15.62608,15.3802,0.04563642
19.79778,18.15247,17.29062,16.8509,16.48046,0.04503284
19.76335,17.66016,16.62398,16.15097,15.75608,0.0568578
19.95885,18.04579,17.12015,16.64424,16.28206,0.044297
20.04161,18.10221,17.18768,16.75582,16.40927,0.04499663
19.49106,17.53793,16.60372,16.16138,15.80394,0.04603161
19.06009,17.3177,16.42234,15.99022,15.65679,0.04561796
19.29932,17.40602,16.44753,16.00617,15.61255,0.04429447
19.01298,17.66614,17.16999,16.82669,16.5809,0.04351588
19.09172,17.94827,17.38349,16.82967,16.67613,0.07371953
19.39668,18.06811,17.4741,17.11304,16.90632,0.04644161
18.59915,17.14246,16.43404,16.03774,15.72485,0.0541275
19.37716,18.27439,17.79255,17.50239,17.31034,0.0468028
18.84479,17.43078,16.69576,16.25964,15.92314,0.0471938
18.74412,17.29804,16.58423,16.20544,15.89407,0.04744472
20.50803,18.54108,17.66406,17.2584,16.94406,0.0473687
18.64591,17.3633,16.641,16.16864,15.84108,0.04820611
20.53907,18.5974,17.68,17.26343,16.937,0.0459577
19.26312,17.34657,16.42738,15.98644,15.61321,0.04768572
20.29089,18.66466,17.72102,17.22257,16.91685,0.07406016
18.87362,17.6617,17.09718,16.7502,16.50239,0.05525228
19.49371,17.67801,16.79416,16.38673,16.01004,0.05098766
19.29411,17.5023,16.58649,16.16303,15.81341,0.0491895
18.65986,16.7262,15.82086,15.37481,15.02575,0.05027183
18.84953,17.68148,17.12549,16.79776,16.62579,0.05044587
18.33865,16.34288,15.39173,14.94453,14.58135,0.05071385
19.8575,17.87826,16.93211,16.47641,16.08941,0.05042366
19.4949,18.45737,18.26331,18.33521,19.69206,0.05898905
19.65868,17.58673,16.53602,16.06539,15.68569,0.08381232
19.94846,17.84894,16.77933,16.29238,15.89613,0.087958
20.35563,18.56462,17.59607,17.0844,16.66383,0.05908943
18.6379,17.35474,16.7606,16.43297,16.14045,0.03292699
19.17625,18.12824,17.7701,17.56984,17.40899,0.0353776
18.81886,17.54056,17.00047,16.67307,16.43238,0.03528344
18.15245,16.42766,15.56375,15.08236,14.74962,0.07393959
19.14365,17.16607,16.25355,15.81164,15.49303,0.08210291
19.99101,18.15935,17.25016,16.73004,16.34145,0.07607103
19.5199,18.26854,17.687,17.40078,17.15199,0.06047695
19.63036,17.74069,16.88999,16.49919,16.21329,0.07187766
20.27201,18.40696,17.5119,17.10145,16.81937,0.07123114
18.69098,17.66311,17.29742,17.00269,16.91913,0.06240619
18.94881,17.90776,17.4482,17.14707,16.92598,0.03393133
17.55401,15.89718,15.11835,14.72033,14.37843,0.04032281
18.74085,17.51748,16.92795,16.58687,16.36819,0.07144404
19.87589,18.09045,17.23539,16.70706,16.35438,0.07893566
17.61226,15.87212,15.0021,14.57246,14.19619,0.07977457
18.50392,16.77543,16.04379,15.64914,15.32286,0.05043545
18.04597,17.06197,16.722,16.5454,16.34999,0.03897807
20.30461,18.42888,17.52052,17.10348,16.75605,0.07227997
19.56167,17.6364,16.74566,16.34488,16.0047,0.07837977
19.01071,18.04516,17.71279,17.55985,17.46937,0.03024547
18.22618,16.51566,15.62496,15.15024,14.74617,0.07950722
18.1244,16.62343,15.9547,15.59478,15.32051,0.06172443
18.4333,16.98484,16.26898,15.83815,15.53189,0.07298215
18.62285,17.9556,17.68548,17.53894,17.39356,0.03147073
19.1758,17.6805,16.91078,16.50646,16.20571,0.07899421
17.93368,16.89597,16.45797,16.08774,15.93164,0.07229286
18.98508,17.06887,16.1613,15.73856,15.37561,0.07244539
20.01763,18.19739,17.34982,16.93103,16.63554,0.07302549
18.78585,17.60995,17.03348,16.68502,16.46351,0.08471337
19.0598,17.90061,17.48482,17.1962,17.13316,0.06377968
19.65739,18.20157,17.4841,17.0965,16.80966,0.07245316
19.52295,17.79591,16.95466,16.58426,16.26823,0.07649297
18.96731,16.97765,16.05896,15.63398,15.26244,0.07230573
18.93851,16.96423,16.05015,15.62493,15.26164,0.0721513
19.84674,18.30596,17.56479,17.19682,16.93355,0.08140511
19.45767,17.38086,16.4176,15.96154,15.61355,0.08123779
19.62433,18.21443,17.59288,17.17659,16.86617,0.08114978
18.95872,17.84813,17.36528,17.03226,16.85504,0.08296794
18.12949,16.3955,15.55466,15.13118,14.78636,0.08264649
19.64772,17.65414,16.70421,16.27375,15.91507,0.08307422
18.88941,17.03181,16.09841,15.69136,15.37418,0.08326782
19.845,17.84877,16.8626,16.43339,16.04543,0.08858068
20.29512,18.50239,17.54567,17.1567,16.78707,0.08988839
19.03937,17.73148,17.17306,16.85764,16.6446,0.08788797
19.63695,17.67225,16.71372,16.27642,15.87971,0.08754382
19.55295,18.30855,17.74788,17.3606,17.17054,0.08193276
20.2577,18.17106,17.21996,16.78368,16.41434,0.08489459
18.85412,16.96894,15.99517,15.51271,15.11497,0.08297773
18.04505,16.09751,15.12705,14.70656,14.33818,0.08897621
19.76342,18.4193,17.73233,17.34389,17.04858,0.08811215
19.38456,17.42269,16.48978,16.07868,15.7321,0.0819373
19.02828,17.04563,16.08323,15.62549,15.25828,0.07137965
19.20394,17.38704,16.47666,16.06988,15.74119,0.08415757
20.31868,18.40781,17.487,17.066,16.70339,0.08160398
19.43076,17.62731,16.7095,16.32013,15.95548,0.08387592
19.32837,18.29539,17.94051,17.6937,17.64581,0.03371388
18.29553,16.89685,16.23827,15.87868,15.57077,0.0301458
20.25378,18.83238,18.06867,17.61958,17.29034,0.07736008
19.40126,17.82497,17.09139,16.69473,16.42718,0.0891047
19.01296,17.02944,16.05503,15.61104,15.24327,0.07805659
19.17666,17.63932,16.82358,16.35464,16.0153,0.07758146
19.8403,17.99463,17.0031,16.5335,16.14098,0.07762073
18.77158,17.1718,16.49279,16.07528,15.77641,0.07919856
19.3814,18.15178,17.46207,17.0002,16.73619,0.07872328
19.05162,17.52611,16.74731,16.30249,15.94252,0.06234364
18.5143,17.25373,16.74045,16.38139,16.16051,0.05480139
19.64956,18.37119,17.80918,17.44428,17.23676,0.06073605
20.48773,18.58512,17.65531,17.21957,16.8844,0.07793126
19.85554,18.42173,17.71446,17.31387,17.0263,0.07795132
19.81282,18.46067,17.98837,17.68861,17.48893,0.05515259
18.82311,17.28458,16.47524,16.01614,15.66419,0.05449592
19.25228,17.34267,16.42358,15.91658,15.53775,0.07776588
19.25018,17.85067,17.09176,16.65637,16.30496,0.03101538
18.94762,17.80112,17.33338,17.03035,16.85358,0.04260503
17.12434,15.98897,15.27216,14.81887,14.48862,0.04280036
18.38115,16.66425,15.79927,15.3051,14.92105,0.042782
17.35497,16.22724,15.58231,15.2132,14.94737,0.04260654
19.16289,17.87472,17.26187,16.87836,16.61339,0.08291406
18.66375,16.71732,15.77974,15.31612,14.94658,0.04098138
19.1467,18.12337,17.61307,17.40556,17.22793,0.03941562
20.02904,18.07723,17.10102,16.62526,16.24418,0.08289059
19.43384,17.54361,16.5895,16.11658,15.73353,0.08513534
19.19815,17.60477,16.70871,16.1735,15.79695,0.08292612
18.58295,17.31265,16.69193,16.36101,16.15246,0.03223878
18.17789,16.38868,15.46416,14.96539,14.62574,0.05372411
19.95955,17.62924,16.40035,15.78149,15.27122,0.0543775
19.31067,17.36019,16.38565,15.9099,15.51448,0.05830569
18.837,17.1907,16.32329,15.82097,15.45492,0.0591345
20.14928,18.59118,17.85316,17.42149,17.05524,0.05800557
19.17037,17.12657,16.14485,15.64994,15.28181,0.06094531
19.97072,18.03243,17.08875,16.61393,16.24203,0.06098471
18.08182,16.40516,15.61448,15.17521,14.85927,0.06064306
18.90495,17.10032,16.25677,15.8358,15.47367,0.04829464
20.5424,18.51054,17.49443,16.97732,16.57528,0.05942294
20.10211,18.44293,17.52362,17.01089,16.55717,0.04804455
18.00816,16.02841,15.10079,14.64674,14.26406,0.03076948
19.25193,17.89279,17.32158,17.00379,16.82434,0.05836911
19.37262,17.65437,16.69746,16.2305,15.86977,0.0737878
19.22928,17.30057,16.32331,15.8504,15.455,0.07184925
18.64828,17.40983,16.85427,16.49904,16.27685,0.05033315
18.24966,16.24553,15.26473,14.78902,14.40199,0.06163232
19.87781,18.26884,17.42512,16.97647,16.66143,0.08082826
19.03426,17.79282,17.29897,17.00868,16.80497,0.05043225
19.26487,17.97438,17.35548,16.9824,16.6959,0.06154416
20.25097,18.5925,17.71401,17.25706,16.94609,0.06942271
19.461,18.37761,17.87916,17.55396,17.34636,0.04937574
20.23186,18.2799,17.27817,16.82458,16.46503,0.08035378
19.59409,17.85046,17.01686,16.62197,16.31854,0.06001066
20.13563,18.43191,17.54119,17.05067,16.66599,0.05784094
20.50907,18.63574,17.53918,16.93806,16.44861,0.07611437
18.23894,17.60531,17.48927,17.02669,17.13149,0.07623087
19.46252,18.43745,17.95536,17.71106,17.49383,0.04345988
19.27787,17.1377,16.07447,15.57074,15.17297,0.0573527
19.53042,17.41276,16.39031,15.90779,15.52465,0.07087372
18.07784,17.02993,16.6021,16.24635,16.0947,0.07032418
18.7942,17.53207,16.93394,16.501,16.25197,0.05749664
18.74944,17.41249,16.66237,16.18483,15.86686,0.07053563
19.3659,18.15281,17.61592,17.22948,17.01295,0.05694124
19.93633,18.49824,17.7354,17.26146,16.87697,0.08383591
18.74608,17.4436,16.77407,16.37267,16.11496,0.05701595
19.03101,17.33668,16.22104,15.78683,15.41859,0.05721577
20.41097,18.57749,17.5566,17.02418,16.60151,0.07022025
19.1165,17.65304,16.95359,16.56757,16.26234,0.04945239
18.39584,17.18207,16.58366,16.23495,16.05693,0.0452709
18.26716,17.25914,16.8627,16.52999,16.39643,0.05122699
17.20844,16.53498,16.93488,16.97043,16.90483,0.03132734
19.25949,17.25993,16.31405,15.87977,15.51287,0.05545625
19.19293,17.19947,16.24853,15.78967,15.41119,0.06530171
20.37195,18.59273,17.73106,17.34488,17.00854,0.07345694
18.94723,17.49584,16.68891,16.23895,15.85704,0.04658657
19.79388,17.95778,17.08282,16.66791,16.30449,0.04781452
19.6681,18.79465,18.73812,18.42497,18.46638,0.0541596
18.53532,17.12586,16.3757,15.99479,15.74403,0.05809155
