#Table1
u,g,r,i,z,redshift
19.47885,17.58269,16.7556,16.35475,16.10601,0.08455453
19.83481,18.06367,17.169,16.76156,16.46476,0.08505128
18.62551,17.23164,16.55932,16.1805,15.91817,0.06380931
19.5941,17.75716,16.83972,16.42016,16.09814,0.08292848
18.39058,16.48621,15.60406,15.18717,14.87708,0.063648
20.06661,18.15875,17.18544,16.66933,16.25788,0.08495665
18.29749,16.85361,16.17976,15.80544,15.52423,0.06387816
18.51942,16.74492,15.84739,15.40354,15.0956,0.08403751
19.51545,17.5336,16.54985,16.09873,15.74464,0.08610872
18.39317,17.28114,16.81574,16.47314,16.32967,0.08500416
19.10206,17.08959,16.10446,15.67268,15.322,0.08757104
19.90787,18.00432,17.06703,16.65265,16.30695,0.08451748
18.84993,17.14941,16.71698,16.45049,16.33658,0.04086484
19.82566,17.97278,17.00699,16.58673,16.26881,0.08302145
18.25835,17.06818,16.49796,16.11042,15.91178,0.08569794
19.5478,18.23257,17.61664,17.23762,17.07785,0.08769291
19.71973,17.73679,16.75908,16.32437,15.96696,0.08473853
19.42603,17.52067,16.64694,16.24114,15.91174,0.08504208
17.4677,15.9797,15.18428,14.77405,14.48412,0.08540002
19.79559,17.92462,17.10815,16.71966,16.39927,0.08467034
18.98141,17.24249,16.55521,16.1615,15.86302,0.04052293
18.50284,16.74405,15.93957,15.53509,15.2221,0.084401
19.2774,17.72449,16.99597,16.60364,16.37337,0.08353332
18.83123,17.16303,16.30308,15.9039,15.60196,0.084243
20.40516,18.65949,17.82321,17.42562,17.12024,0.08413422
20.01853,18.16994,17.27015,16.8756,16.5523,0.0834891
19.66937,17.95902,17.08132,16.67941,16.34858,0.08192692
19.28685,17.97211,17.41433,17.03592,16.86382,0.08255296
19.46808,18.20019,17.58722,17.27921,17.03558,0.08207345
20.01941,18.12133,17.24449,16.84069,16.55557,0.08683616
20.07838,18.24715,17.25569,16.74107,16.35798,0.08536031
19.00992,17.14645,16.29424,15.90882,15.63426,0.0860414
19.22738,18.15464,17.77437,17.52651,17.36611,0.08669255
19.39439,17.58274,16.66801,16.25677,15.92531,0.08609153
19.09463,16.98499,16.01742,15.57427,15.2165,0.08647148
18.70113,16.9362,16.09332,15.67272,15.34809,0.0857847
19.49606,17.50521,16.58813,16.17336,15.8643,0.08161739
